fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2018-02-01,OPRT,-0.2691403881048732,-0.022462899865770325,0.08870596732830546,0.11365714437892033,,,0.5,5.106756117217158,,0.2134232684786789,31.63076393197273
2018-03-01,OPRT,0.03192425219672342,0.0,0.10288041661390852,0.17703839392415344,,,0.25,4.907382032785634,,0.18719473418372726,31.42759069234571
2018-04-01,OPRT,0.5871589560514292,0.007142653761536473,0.10743134195376161,0.18868621774524558,,,0.0,4.437719372672856,,0.18101191045071754,32.28364954370431
2018-05-01,OPRT,0.6497084134850666,0.004987711687902918,0.10362723536119126,0.16472367155706752,,,0.0,3.9864343778401223,,0.19207817293379248,33.237621059697304
2018-06-01,OPRT,0.6442524380026386,0.0,0.09615032876167988,0.1307112481609126,,,0.0,3.683109283780425,,0.2144008207270904,33.058123028290865
2018-07-01,OPRT,0.6215191054865309,-0.002172519774300795,0.0893415346867116,0.10131844518538478,,,0.0,3.5900005299223463,,0.23872260799905343,31.006604734184883
2018-08-01,OPRT,0.6029337569033945,-0.0015455594360759997,0.08375413154071587,0.0777247459366441,,,0.0,3.6328383462596507,,0.2555758780778478,28.228437552444927
2018-09-01,OPRT,0.5985357475494184,0.0,0.07986768292763015,0.06496615923707863,,,0.0,3.747078097185808,0.0,0.25509032630206574,26.631139141832236
2018-10-01,OPRT,0.6045219935828113,0.0005888267193280329,0.07764743055399373,0.06558178527662295,,,0.0,3.867879602760684,0.0,0.2331933899789925,27.53349243132568
2018-11-01,OPRT,0.6135278886189889,0.0003849201923149857,0.07586777774639408,0.07157878004427529,,,0.0,3.9685111267895175,0.0,0.1963807136841322,30.498566533328468
2018-12-01,OPRT,0.6195248595874666,0.0,0.07348763376187326,0.07292763793864648,,,0.0,4.020758969150106,0.0,0.16340834027988357,34.46715182317061
2019-01-01,OPRT,0.6224900238985164,-0.0001566166388608488,0.06965778636483583,0.06375983595062001,,,0.0,4.019660802517501,0.0040050238901264724,0.15355633716046582,38.81602875492927
2019-02-01,OPRT,0.6249103589638583,-0.00010401103674676072,0.06544041281171395,0.04990743873261553,,,0.0,3.9928117805066603,0.005014408267245641,0.15389388985599795,42.095309209553264
2019-03-01,OPRT,0.6286291873398364,0.0,0.06247237039467387,0.04024154842120625,,,0.0,3.9768860300090596,0.0,0.11327135225107325,42.76828411455769
2019-04-01,OPRT,0.6339351233919541,4.8328708587898124e-05,0.06103974208173102,0.037489992897600646,,,0.0,3.9860654949617014,0.0,-0.04206979993417611,40.585752915749225
2019-05-01,OPRT,0.6381125946019367,3.282289284224356e-05,0.06088558883090325,0.03841768193823576,,,0.0,3.9851201156508194,0.0,-0.2689397660427875,38.30854676355187
2019-06-01,OPRT,0.6368280634374545,0.0,0.06097321141977707,0.03639559094015786,,,0.0,3.924517148836117,0.0,-0.393714367415944,38.570138835277646
