fiscalDateEnding,Ticker,net_income_minus_taxes_over_net_income,pretax_non_operating_over_sales,sales_over_assets,income_to_equity,earnings_over_price,relative_price_evolution,net_income_to_common_over_net_income_smoothed,liabilities_over_equity,inventory_over_current_liabilities,working_capital_over_sales,dividend_per_share
2022-11-01,ATO,0.8479750694015143,-0.01421547036029108,0.053146598518450466,0.020270464249026978,0.2308182529455712,0.4206358586455503,0.5,1.402445963327158,0.09530873181062237,-0.42659587008389693,-28.221862888650705
2022-12-01,ATO,0.864631969096421,-0.010491176266451215,0.063511032043304,0.027638514339881137,0.3418143683829821,0.3245479257770949,0.5,1.3755093646232304,0.0916443132211782,-0.1490949743978642,26.617442950041216
2023-01-01,ATO,0.8735673886838732,-0.009963437703113523,0.07182993772638555,0.03361119284927993,0.40000516572709927,0.38919749438600637,0.5,1.2867460148256715,0.09756186207715864,0.01652199703587144,165.40061669887533
2023-02-01,ATO,0.8758120500989778,-0.01119305847020397,0.07556110996931505,0.03641931366503793,0.4547382879967177,0.3332939368868928,0.25,1.172781741993327,0.1200270814468997,0.05722393992607145,313.41436231011403
2023-03-01,ATO,0.875261448437692,-0.012955450874220379,0.07230588637942036,0.0350478995767356,0.4421592458990509,0.32797541661742113,0.0,1.0883324734779949,0.16484051619186754,0.02706118953299971,375.5639050747637
2023-04-01,ATO,0.8748364776760819,-0.015298855404058837,0.05991418971412049,0.028772245162616575,0.36038535994823984,0.34901311901666476,0.0,1.0461768411118841,0.21635922460976437,-0.017472470590585112,310.35494011839046
2023-05-01,ATO,0.8759253924463383,-0.018431434650568006,0.04415546244361627,0.02051206315200023,0.2565352356942088,0.36248670369932645,0.0,1.0427720337683766,0.21982088938296648,-0.053582722881141485,173.20566860966096
2023-06-01,ATO,0.8784825880707673,-0.02288100939594075,0.030440351708876302,0.012997740790488476,0.16218851784124128,0.3750147736674152,0.0,1.0534565773480504,0.20403820477395315,-0.11808275688348673,45.01934043966125
2023-07-01,ATO,0.8790744392675575,-0.026526588614312438,0.023761551452886585,0.009104751431028884,0.10899341642557682,0.4384824488831107,0.25,1.059842885004829,0.2008264070509095,-0.2972947383849674,-1.6511657129412562
2023-08-01,ATO,0.8725304905200701,-0.027966230552049817,0.022842031190775578,0.008550377896574328,0.1076407117756806,0.370405389433873,0.25,1.063810304434138,0.20423266020497763,-0.5780355039329512,8.07713334640044
