timestamp,ticker,signal,return,success
2022-05-25,CHE,SELL,0.0024121572726542,1
2022-05-26,CHE,BUY,0.0105448154657294,1
2022-05-27,CHE,SELL,0.0124092671770906,1
2022-05-31,CHE,SELL,0.019115502996922,1
2022-06-01,CHE,SELL,0.0188011683877072,1
2022-06-02,CHE,BUY,0.0120584983205725,1
2022-06-03,CHE,SELL,0.0010800930541707,1
2022-06-06,CHE,BUY,0.0013480442988095,1
2022-06-07,CHE,HOLD,0.0,0
2022-06-08,CHE,SELL,0.0144840072420035,1
2022-06-09,CHE,BUY,-0.0062914398288388,0
2022-06-10,CHE,BUY,-0.0037741513520468,0
2022-06-13,CHE,HOLD,0.0,0
2022-06-14,CHE,BUY,-0.0178508925446272,0
2022-06-15,CHE,BUY,0.0131760824006776,1
2022-06-16,CHE,BUY,-0.0229074103016365,0
2022-06-17,CHE,BUY,0.0247619047619047,1
2022-06-21,CHE,BUY,-0.0068099173553718,0
2022-06-22,CHE,BUY,0.0240389990831637,1
2022-06-23,CHE,BUY,0.0112668075925643,1
2022-06-24,CHE,HOLD,0.0,0
2022-06-27,CHE,BUY,0.00938725647785,1
2022-06-28,CHE,BUY,-0.0092204880937275,0
2022-06-29,CHE,SELL,-0.0130886720407297,0
2022-06-30,CHE,SELL,0.0068342431551775,1
2022-04-01,MSEX,BUY,0.0375832540437678,1
2022-04-04,MSEX,SELL,0.0443336104183984,1
2022-04-05,MSEX,BUY,0.0041682822799535,1
2022-04-06,MSEX,SELL,-0.0151690821256037,0
2022-04-07,MSEX,SELL,0.0137038446897601,1
2022-04-08,MSEX,BUY,-0.0157762291908632,0
2022-04-11,MSEX,BUY,-0.0068715028958476,0
2022-04-12,MSEX,BUY,-0.0036532385466035,0
2022-04-13,MSEX,SELL,0.0235514387071344,1
2022-04-14,MSEX,BUY,-0.0364331723027375,0
2022-04-18,MSEX,BUY,-0.0177334732423924,0
2022-04-19,MSEX,BUY,0.0048005120546191,1
2022-04-20,MSEX,BUY,0.0169581346051935,1
2022-04-21,MSEX,BUY,-0.0171207850506315,0
2022-04-22,MSEX,BUY,-0.0001062134891131,0
2022-04-25,MSEX,BUY,-0.0196182396606574,0
2022-04-26,MSEX,SELL,0.0113092648977815,1
2022-04-27,MSEX,SELL,0.0181578078573787,1
2022-04-28,MSEX,BUY,0.0021141649048625,1
2022-04-29,MSEX,SELL,0.0149501661129567,1
2022-05-02,MSEX,BUY,-0.0258542141230067,0
2022-05-03,MSEX,BUY,0.0114046316769462,1
2022-05-04,MSEX,SELL,-0.0278226737474024,0
2022-05-05,MSEX,BUY,-0.0157846922552804,0
2022-05-06,MSEX,BUY,0.0148139641708774,1
2022-05-09,MSEX,BUY,0.0078812107367218,1
